Item,Bucket,Stimulus,Mean Age,SD,trustworthy,attractive,dominant,smart,age,gender,weight,typical,happy,familiar,outgoing,memorable,well-groomed,long-haired,smug,dorky,skin-color,hair-color,alert,cute,privileged,liberal,asian,middle-eastern,hispanic,islander,native,black,white,looks-like-you,gay,electable,godly,outdoors
1,20-30,4,24.77777778,7.02880078,64.05319149,65.5,47.19444444,54.7,24.77777778,9.526315789,32.375,44.02439024,59.52631579,41.02380952,54.8974359,62.21212121,81.14634146,50.5,36,20.325,60.95454545,93.83783784,56.775,70.94736842,49.225,62.44736842,57.64102564,73.34210526,61.66666667,60.35294118,49.8245614,72.55263158,3.315789474,10.5,20.36585366,57.17948718,62.05128205,16.56097561
2,20-30,15,21.475,3.882818828,39.30769231,37.89473684,60.33333333,49.02857143,21.475,73.60465116,33,44.675,28.71052632,41.30769231,31.92682927,55.31578947,62.75,25.27027027,60.21428571,38.77777778,55.025,90.72222222,48.15384615,37.89473684,34.08333333,50.91666667,93.37837838,32,30.13157895,72.42857143,58.04545455,20.97560976,6.727272727,12.54761905,34.87804878,26.02857143,39.89473684,20.05128205
3,20-30,17,23.23076923,6.595299516,45.2,42.88571429,55.55555556,47.97368421,23.23076923,73.35897436,34.825,53.225,34.65714286,42.42857143,36.44186047,49.75,63.66666667,19.07894737,50.44186047,41.64864865,12.94117647,65,57.57894737,34.78947368,54.51351351,52.64102564,2.264705882,41.51351351,32.97368421,17.95454545,31.39344262,6.848484848,80.83783784,21.36585366,42.11111111,37.39393939,48.325,84.19512195
4,20-30,18,26.1,5.877143552,55.82978723,61.54285714,47.08333333,54.58333333,26.1,12.17948718,34.43243243,45.38888889,60.61290323,41.35,55.92682927,61.6,78.30769231,76.97142857,36.65853659,24.77777778,61.89473684,90.34285714,55.91176471,54.82926829,39.44736842,70.13513514,49.63636364,77.48648649,58.15,71.925,46.98360656,74.625,3.951219512,14.91836735,27.43243243,43.87878788,65.78947368,18.30555556
5,20-30,19,24.89130435,4.180527669,73.86363636,74.3,50.8,62.125,24.89130435,11.5,36,72.61904762,67.68421053,62.12820513,65.30769231,55.21875,83.31428571,57.18181818,29.52272727,17.05,17.34210526,66,66.14285714,71.44736842,73.78947368,55.43243243,0.837837838,19.675,12.09090909,11.58139535,11.984375,4.871794872,94.45945946,18.48837209,27.4,59.20588235,70.88095238,15.12820513
6,20-30,20,25.75,5.40510095,56.51612903,41.13513514,50.52631579,52.67567568,25.75,60.78378378,52.26315789,47.625,67.81081081,40.40909091,68.23809524,54.19354839,72.88888889,21.87878788,36.0625,49.1025641,71.38888889,88.27777778,65.27777778,43.10810811,36.41025641,71.5952381,14.05555556,65.52777778,45.84210526,44.90697674,24.390625,90.525,2.264705882,7.288888889,75.37142857,43.91666667,67.05263158,9.65
7,20-30,21,27.64102564,5.635821425,55.74712644,57.86111111,50.2972973,52.30952381,27.64102564,13.925,50.38095238,61.16666667,48.95,41.56410256,42.89473684,40.8974359,75.02702703,76.80555556,45.52,23.225,16.94285714,61.04878049,44.84848485,58,53.11428571,54.3,44.73684211,29.44736842,52.40540541,51.3902439,48.78688525,12.10526316,51.52777778,19.19047619,25.475,49,61.82926829,34.76315789
8,20-30,26,26.9,7.834178896,52.24418605,66.45238095,53.88888889,46.20512821,26.9,7.263157895,33.88372093,52.36363636,56.08108108,45.66666667,54.82926829,61.77142857,84.94736842,65.19444444,51.34042553,21.675,30.43589744,23.97435897,62.54285714,69,71.28205128,63.02777778,17.75,48.71052632,57.37837838,44.26829268,31.484375,24.57894737,52.36111111,14.3902439,28.15384615,43.15384615,62.53488372,24.13157895
9,20-30,28,29.43902439,4.53899097,40.54545455,48.75,67.25,59.36111111,29.43902439,79.4,40.1,55.52272727,40.18604651,46.55263158,46.57777778,44.65714286,66.41025641,21.84210526,61.86666667,37.42105263,26.44444444,93.26190476,50.475,36.32432432,54,47.05714286,30.8974359,68.92682927,65.73529412,40.14634146,42.19672131,15.37837838,42.13888889,18.14285714,49.35897436,57.30555556,52.58333333,19.3
10,20-30,32,28.41860465,5.811452397,71.36904762,66.26315789,43.93939394,61.76315789,28.41860465,8.692307692,45.48648649,58.94871795,76.42105263,50.81081081,71.2195122,55.61111111,82.18918919,80.6744186,23.75,16.52941176,42.8974359,54.48717949,72.2972973,74.89473684,59.84210526,65.91176471,52.07692308,52.94594595,77.60526316,60.34146341,70.37704918,32.42105263,27.77777778,14.58974359,27.02702703,68.3125,71.5,40.88888889
11,20-30,44,23.79545455,7.063102769,47.74444444,37.22222222,53.1025641,57.52380952,23.79545455,70.6,55.8,42.59090909,49.05714286,29.61764706,50.85714286,43.625,66.97142857,27.95238095,77.08108108,46.46153846,47.79411765,92.32352941,51.13157895,30.16216216,48.79411765,55.05714286,95.02941176,29.19512195,40.36842105,78.32608696,67.578125,17.47222222,10.16666667,14,43.02631579,39.14705882,56.97297297,81.25714286
12,20-30,46,23.86363636,3.980130354,57.24468085,62.71052632,51.425,66.43243243,23.86363636,79.33333333,31.42857143,69.07692308,70.25,50.97368421,69.3255814,59,76.48648649,27.3,46.05405405,31.86111111,27.22222222,89.97058824,66.42424242,52.35897436,75.05714286,38.56756757,30.90243902,52.58536585,61.375,41.57142857,37.38333333,11.21212121,64.72727273,26.19565217,50.32352941,69.375,62.43243243,11.2
13,30-40,2,31.3,5.845807847,65,59.75,48.66666667,57.89189189,31.3,12.56097561,48.275,49.20930233,75.77142857,44.09756098,77.80952381,61.21621622,78.38461538,73.16666667,30.31578947,29.35714286,60.66666667,88.10810811,66.72222222,60.42857143,42.21621622,74.97368421,43.85,76.69444444,70.325,63.23684211,54.56451613,72.73529412,4.880952381,13.46511628,31.41463415,66.18421053,62.80952381,57.51351351
14,30-40,7,30.07317073,5.135125334,48.52747253,51.19512195,62.22857143,47.11764706,30.07317073,77.9,39.975,72.68292683,38.75,53.9,48.13636364,42.44444444,56.30952381,16.02857143,49.69047619,32.15384615,12.43589744,69.41666667,47.43243243,39.81081081,70.65714286,40.71428571,2.818181818,16.36842105,17.3902439,11.54054054,14.53448276,3.891891892,93.48837209,32.68181818,43.97619048,42.89189189,52.48648649,83.97619048
15,30-40,14,31.19047619,5.810999222,62.28571429,58.51282051,50.66666667,63.5,31.19047619,74.61538462,35.42857143,81.425,77.45945946,58.81081081,74.23809524,42.02777778,81.13888889,22.77777778,31.46666667,36.74285714,12.525,58.88888889,72.33333333,49.93939394,73,50.8974359,1.65,13.41463415,22.78378378,10.63636364,14.82758621,2.722222222,88.86111111,33.31818182,42.16666667,69.73684211,70.95121951,9.375
16,30-40,22,38.21428571,7.263459212,56.09195402,42.94285714,49.97222222,45.33333333,38.21428571,56.2,43.8974359,52.83333333,66.40540541,44.5,58.66666667,47.86111111,63.72972973,53.13513514,39.23913043,39.30952381,12.61111111,23.9,61.12820513,35.89473684,64.89473684,70.78947368,1.923076923,10.78571429,9.264705882,12.87804878,16.70967742,4.027027027,93,24.31914894,54.82051282,34.52631579,43.05,87.21052632
17,30-40,27,35.81578947,5.867248829,68.59139785,55.57142857,47.83333333,58.94594595,35.81578947,12.13513514,51.37837838,61.06976744,77.25714286,44.475,72.22916667,47.94736842,78.35897436,76.25,27.06818182,26.83333333,31.44444444,52.35897436,71.44444444,53.17948718,55.6,57.275,41.51351351,38.62790698,66.91428571,55.36842105,57.27419355,13.21052632,46.3,16.46666667,27.97222222,63.08333333,65.08571429,57.65789474
18,30-40,29,32.86666667,5.899152482,48.83950617,39.41463415,62.45714286,48.375,32.86666667,87.35897436,62.28947368,53.125,55.03030303,48.05263158,48.48780488,46.63157895,46.12121212,22.20512821,60.875,31.77777778,40.45945946,89.97142857,46.66666667,31.08333333,49.19444444,58.26829268,17.02631579,84.3902439,64,36.05405405,34.17741935,19.61111111,36.28947368,19.17948718,28.54054054,49.24242424,55.65789474,14.05128205
19,30-40,39,36.61363636,6.240214327,62.79775281,54.02564103,48.84210526,51.94871795,36.61363636,12.25,61.33333333,65.90697674,69.54054054,53.35135135,66.20512821,44.85365854,72.35714286,69.66666667,31.68421053,21.22857143,13.94117647,62.18421053,63.13888889,52.62162162,62.85714286,47.89473684,4.815789474,23.325,22.92307692,13.975,19,4.055555556,88.26470588,17.90697674,28.91176471,61.82051282,69.60526316,39.68292683
20,30-40,41,37.97435897,6.34319851,39.71264368,40.57142857,58.61538462,32.47222222,37.97435897,83.70731707,39.97222222,58,51.83333333,48.61904762,64,49.87804878,45.18421053,23.58333333,52.68292683,53.17142857,20.88888889,81.9375,51,24.51351351,65.97368421,51.17647059,2.648648649,33.30232558,32.05128205,15.95348837,21.33870968,9.763157895,82.03125,22.15909091,52.60606061,27.625,49.13157895,9
21,30-40,42,33.2826087,5.264822645,66.41111111,56.91176471,45.57894737,58.75675676,33.2826087,11.53658537,57.11428571,59.07317073,58.67567568,50.06818182,48.53846154,41.88888889,77.18421053,50.61111111,45.4,17.69444444,62.56410256,91.88888889,56.86842105,57.02631579,44.51351351,69.72222222,57.60526316,65.25641026,65.2,71.34090909,59.54237288,73.91176471,3.923076923,15.78571429,28.32432432,57.62162162,71.97368421,74.47368421
22,30-40,56,31.3902439,5.95347818,54.58695652,55.925,51.94285714,43.36111111,31.3902439,12.5,55.72222222,41.02564103,74.7027027,37.9,76.56410256,65.34210526,75.05714286,65.84210526,42.24324324,36.78787879,62.45714286,90.32432432,67.31428571,61.10526316,57.10810811,66.94594595,45.57142857,77.69444444,69.85,63.72972973,49.01785714,54,7.171428571,15.02439024,36.11111111,49.6,61.26315789,12.97142857
23,30-40,45,31.85365854,4.88651704,51.88372093,39.02702703,57.41025641,47.05263158,31.85365854,86.05128205,36.82352941,58.75555556,52.25714286,53.18918919,56.53333333,54.5,58.79487179,13.875,41.55263158,22.25,85.4,91.55,58.89473684,36.075,33.47368421,71.51428571,4.459459459,60.75,28.24242424,24.73684211,10.8030303,97.16216216,3,13.075,39.14285714,34.28947368,64.15384615,19.57575758
24,30-40,58,34.61904762,6.024148076,62.94565217,59.71428571,50.38461538,53.78378378,34.61904762,17.05,57.24324324,61.06818182,56.2,50.05405405,58.58139535,53.5,79.12820513,44.83333333,40.60526316,23.71428571,13.58333333,23.79411765,63.68571429,60.26315789,65.05882353,53.64864865,6.717948718,29.35135135,34.02857143,15.25,18.36206897,5.947368421,81.47368421,16.72727273,45.28205128,63.56097561,70.36111111,35
25,40-50,5,44.53488372,6.337149867,69.57731959,50.7027027,56.25714286,61.52777778,44.53488372,14.65,40.25,70.18421053,82.6,50.24324324,69.4,51.16216216,76.12820513,46.89189189,26.34285714,28.89189189,16.97297297,62.71052632,71.02857143,48.64864865,62.78378378,50.02857143,1.461538462,13.91891892,14.16216216,15.12121212,10.91071429,3.702702703,88.84210526,19,21.78378378,70.88888889,71.83333333,20.77777778
26,40-50,6,43.59090909,6.807376921,30.06382979,31.69230769,59.45945946,24.75675676,43.59090909,73.1025641,43.475,46,32.65789474,36.5,43.69047619,47.73529412,38.45,28.92307692,63.85365854,39.73684211,17.91891892,31.59459459,30.57575758,15.21052632,46.97435897,76.64864865,0.885714286,12.16216216,9.75,16.57894737,19.47457627,5.333333333,90.69444444,25.9047619,76.97435897,20.67647059,29.75,65.65
27,40-50,10,47.27272727,6.244490172,45.47916667,34.58536585,63.71428571,54,47.27272727,83.66666667,55.82857143,47.80487805,24.13157895,37.62857143,30.21428571,49.59459459,33.92105263,20.65714286,42.27777778,39.95121951,46.38888889,80.77777778,42.18918919,18.325,33.73529412,60.575,17.55,73.94444444,74.88571429,41.55263158,52.83333333,25.14705882,26.85294118,17.88095238,19.85714286,41.79411765,56.27027027,25.84210526
28,40-50,11,40.57142857,6.857941301,67.18,47.71428571,59.61538462,67.71428571,40.57142857,31.72972973,29.92105263,51.13157895,65.0625,40.78378378,58.21428571,55.61111111,73.86842105,24.74285714,28.30555556,25.64864865,26.10810811,55.14705882,64.38888889,45.84848485,45.09090909,64.31578947,90.04878049,19.72972973,25.125,56.10526316,50.56451613,10.16216216,28.31578947,13.64,65.17391304,65.27272727,52.89189189,39.08108108
