participant_id,quartile,n_faces,mean_rating,mean_age,sd_age
7,Q1,15,33.233333333333334,41.754836043333334,14.66022076732228
7,Q2,16,58.09375,40.69737364,14.628942771497933
7,Q3,15,68.1,42.83032865733333,12.102387712343429
7,Q4,14,77.67857142857143,52.48746695357143,12.573971470858432
8,Q1,17,36.44117647058823,35.42534291941177,9.56671932590342
8,Q2,13,52.92307692307692,38.626471415384614,11.135028105042247
8,Q3,15,63.733333333333334,47.259286534666664,14.572384802814991
8,Q4,15,75.03333333333333,56.09971533666667,11.013672755749795
9,Q1,15,42.2,43.35173773133333,12.688832554395027
9,Q2,15,52.13333333333333,41.27287348733333,14.942686572078406
9,Q3,15,60.4,45.400261194,13.627316225129583
9,Q4,15,68.0,46.95912666066667,15.4585685900425
10,Q1,20,54.65,40.2655646995,13.09867782066308
10,Q2,10,68.45,37.143210045000004,13.033352487411769
10,Q3,15,78.03333333333333,38.067803122,9.182411044256746
10,Q4,15,89.76666666666667,60.466636322,4.556846727279515
