age_score,survey_scale,n,pearson_r,pearson_p,spearman_rho,spearman_p
mean_age_Q1,work_characteristics_mean,4,0.6168351593663088,0.38316484063369116,0.39999999999999997,0.6
mean_age_Q1,KAI_mean,4,0.6066104069596494,0.3933895930403506,0.39999999999999997,0.6
age_pref_Q4_minus_Q1,KAI_mean,4,-0.5583351757863286,0.44166482421367137,-0.39999999999999997,0.6
mean_age_Q2,Big5_TIPI_mean,4,0.5410498168702671,0.4589501831297329,0.7378647873726218,0.2621352126273781
mean_age_Q3,work_characteristics_mean,4,-0.5117848952912493,0.48821510470875085,-0.7999999999999999,0.20000000000000007
mean_age_Q4,creative_perceptions_mean,4,-0.49868649675951643,0.5013135032404836,-0.316227766016838,0.683772233983162
age_pref_Q4_minus_Q1,creative_perceptions_mean,4,-0.4679026995324897,0.5320973004675102,-0.316227766016838,0.683772233983162
mean_age_Q4,KAI_mean,4,-0.4371598966014253,0.5628401033985746,-0.19999999999999998,0.8
mean_age_Q1,Big5_TIPI_mean,4,0.39322442576720174,0.6067755742327983,0.7378647873726218,0.2621352126273781
age_pref_Q4_minus_Q1,Big5_TIPI_mean,4,-0.3660953311966575,0.6339046688033425,-0.7378647873726218,0.2621352126273781
age_pref_Q4_minus_Q1,work_characteristics_mean,4,-0.31931805129016627,0.6806819487098337,-0.39999999999999997,0.6
mean_age_Q2,work_characteristics_mean,4,0.306335143359772,0.6936648566402279,0.0,1.0
mean_age_Q4,Big5_TIPI_mean,4,-0.2893503996958219,0.710649600304178,-0.7378647873726218,0.2621352126273781
mean_age_Q1,creative_perceptions_mean,4,0.2873064148050971,0.712693585194903,0.316227766016838,0.683772233983162
mean_age_Q3,creative_perceptions_mean,4,0.2872649094201317,0.7127350905798684,0.316227766016838,0.683772233983162
mean_age_Q2,creative_perceptions_mean,4,0.2388338954316433,0.7611661045683566,0.316227766016838,0.683772233983162
mean_age_Q2,KAI_mean,4,0.21649589956939508,0.7835041004306049,0.19999999999999998,0.8
mean_age_Q3,KAI_mean,4,-0.10376000942979086,0.8962399905702092,0.0,1.0
mean_age_Q4,work_characteristics_mean,4,-0.08843678958961004,0.9115632104103899,0.0,1.0
mean_age_Q3,Big5_TIPI_mean,4,-0.05331303235912627,0.9466869676408738,-0.10540925533894598,0.894590744661054
