face,count,mean,std,min,max
30,4,43.0,7.164728420068224,35,50
26,4,43.25,25.11805459558257,17,75
41,4,43.25,15.861378670636842,31,66
18,4,44.5,19.739976359323904,27,70
6,8,45.75,19.521050908478994,23,68
58,4,46.0,20.960279896349988,24,74
17,4,48.0,14.023789311975086,30,64
46,4,49.25,17.05627939108253,34,65
158,4,50.75,10.04572877727976,42,65
15,8,51.25,13.133925536563698,34,71
44,4,51.25,16.740669042783207,35,71
31,4,51.5,11.958260743101398,38,67
28,4,52.25,13.598406769422171,40,65
101,4,53.25,21.884164746836163,25,75
39,4,53.75,8.460693430998038,43,63
79,8,53.875,23.129680993414997,14,87
27,4,55.25,13.149778198382917,36,65
7,8,55.625,7.707834604200733,43,67
4,8,55.625,14.589012499627442,37,73
29,4,56.0,13.9522996909709,40,74
5,8,56.25,16.917868828971503,29,86
36,4,56.5,7.047458170621991,48,65
11,4,56.5,15.329709716755891,36,72
13,4,57.25,16.520189667999176,41,76
22,4,57.75,12.60621539823379,48,76
427,4,58.0,37.86819245752297,9,93
56,4,58.25,13.647344063956181,39,71
2,8,58.375,16.94476320283054,40,85
21,4,58.5,16.217274740226856,37,72
193,4,59.0,11.04536101718726,50,75
70,4,60.5,7.852812659593164,49,66
45,4,60.5,13.076696830622021,50,77
25,4,60.75,19.93949180228356,31,73
72,4,62.25,8.99536917900909,51,73
23,4,63.0,26.166135875720485,26,82
95,4,63.75,10.53169818531972,53,78
20,4,63.75,13.375973484822204,52,83
10,4,65.0,4.8304589153964805,61,72
32,4,65.0,3.265986323710904,61,69
278,4,65.25,21.219095173922945,43,88
24,8,65.375,9.530964574180606,48,74
35,4,65.5,12.013880860626731,50,78
19,4,65.75,11.146748404803978,58,82
304,4,65.75,17.211914478058507,49,88
9,8,67.5,21.20646801601544,38,94
90,4,68.25,13.81725973797506,55,86
3,4,69.0,10.230672835481872,55,78
385,4,70.5,14.730919862656235,60,92
42,4,71.0,8.04155872120988,66,83
14,4,71.25,9.069178573608529,60,80
147,4,71.5,9.574271077563381,63,85
83,4,72.25,12.971121771072848,60,90
65,4,72.25,11.557825631723873,60,86
102,4,72.75,12.816005617976296,61,91
48,4,72.75,8.180260794538684,65,84
1,8,73.0,9.98570406702931,62,88
116,4,76.0,10.677078252031311,64,90
149,4,78.25,8.770214744615247,71,91
123,4,81.0,12.027745701779143,70,95
78,4,81.25,7.135591542869215,75,91
