participant_id,face,rating1,rating2,diff,abs_diff,rt1,rt2,trial1,trial2
7,1,78,75,-3,3,4144,2871,42,73
7,15,48,34,-14,14,3177,2993,27,63
7,2,58,54,-4,4,8320,4918,21,57
7,24,74,74,0,0,2106,7039,37,70
7,4,56,46,-10,10,4349,5375,8,72
7,5,41,29,-12,12,7890,2601,15,62
7,6,67,68,1,1,5204,2575,38,69
7,7,54,65,11,11,7257,7863,20,56
7,79,27,14,-13,13,5633,2678,34,68
7,9,56,38,-18,18,5553,4131,17,60
8,1,62,66,4,4,5113,3747,38,73
8,15,42,37,-5,5,5594,5613,13,66
8,2,46,40,-6,6,5330,3964,31,63
8,24,71,56,-15,15,1998,2779,40,71
8,4,72,48,-24,24,5913,4296,11,51
8,5,55,58,3,3,3980,2464,15,50
8,6,40,26,-14,14,2928,3280,24,60
8,7,51,56,5,5,3813,7379,37,72
8,79,56,63,7,7,4396,2278,30,69
8,9,79,76,-3,3,3863,3097,10,47
9,1,64,66,2,2,2328,2463,14,50
9,15,71,59,-12,12,9596,10178,4,49
9,2,63,41,-22,22,5329,3214,19,60
9,24,61,48,-13,13,7330,2730,21,59
9,4,42,37,-5,5,4429,3313,40,72
9,5,57,56,-1,1,2445,3095,26,57
9,6,25,23,-2,2,4145,2413,10,42
9,7,52,43,-9,9,3880,3414,27,58
9,79,54,65,11,11,4363,2912,17,51
9,9,55,48,-7,7,5662,3147,33,69
10,1,85,88,3,3,4814,3690,35,69
10,15,63,56,-7,7,6779,5937,40,73
10,2,80,85,5,5,14859,4943,5,48
10,24,72,67,-5,5,11260,5961,14,49
10,4,71,73,2,2,7662,3245,18,62
10,5,86,68,-18,18,3084,6219,20,59
10,6,62,55,-7,7,5055,4150,39,71
10,7,67,57,-10,10,2718,2848,26,66
10,79,87,65,-22,22,13068,8525,23,55
10,9,94,94,0,0,9197,4684,17,60
