all_response_times,all_responses,anon_id,assignmentId,browser_events,completion_code,condition,debug_mode,end_time,experiment_name,experiment_phase,hitId,initial_response,initial_response_time,ip_address,outsideTurk,platform,previewMode,redirect_url,refresh_count,response,rt,seed,start_time,stimulus,time_elapsed,total_time,trial_index,trial_type,turkSubmitTo,version_date,workerId,worker_info
"[899, 1204, 1220, 1237, 1243, 1260, 1277, 1293, 1327, 1343, 1360, 1377, 1393, 1410, 1426, 1443, 1460, 1477, 1496, 1510, 1527, 1677, 1693, 1700, 1717, 1733, 1750, 1767, 1786, 1801, 1817, 1834, 1852]","[6, 6, 6, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 9, 9, 9, 9, 9, 9, 9, 10]",d7l6131sz9o4mrk,test,[],1894769906-exa-6424662969-mple,emotional,False,2026-02-28T18:56:06Z,example_experiment,main,test,6,899,"""127.0.0.1""",False,turk,False,,3,10,2794,1772304856868,2026-02-28T18:54:16Z,src/images/jpg/1.jpg,92419,109100,5,image-slider-response,,2023-10-21,test,"{""assignmentId"": ""test"", ""hitId"": ""test"", ""workerId"": ""test"", ""turkSubmitTo"": """", ""previewMode"": false, ""outsideTurk"": false, ""platform"": ""turk""}"
"[757, 1304]","[8, 10]",d7l6131sz9o4mrk,test,[],1894769906-exa-6424662969-mple,emotional,False,2026-02-28T18:56:06Z,example_experiment,main,test,8,757,"""127.0.0.1""",False,turk,False,,3,10,2377,1772304856868,2026-02-28T18:54:16Z,src/images/jpg/2.jpg,94898,109100,6,image-slider-response,,2023-10-21,test,"{""assignmentId"": ""test"", ""hitId"": ""test"", ""workerId"": ""test"", ""turkSubmitTo"": """", ""previewMode"": false, ""outsideTurk"": false, ""platform"": ""turk""}"
[746],[51],d7l6131sz9o4mrk,test,[],1894769906-exa-6424662969-mple,emotional,False,2026-02-28T18:56:06Z,example_experiment,main,test,51,746,"""127.0.0.1""",False,turk,False,,3,51,1199,1772304856868,2026-02-28T18:54:16Z,src/images/jpg/3.jpg,96198,109100,7,image-slider-response,,2023-10-21,test,"{""assignmentId"": ""test"", ""hitId"": ""test"", ""workerId"": ""test"", ""turkSubmitTo"": """", ""previewMode"": false, ""outsideTurk"": false, ""platform"": ""turk""}"
[661],[50],d7l6131sz9o4mrk,test,[],1894769906-exa-6424662969-mple,emotional,False,2026-02-28T18:56:06Z,example_experiment,main,test,50,661,"""127.0.0.1""",False,turk,False,,3,50,1080,1772304856868,2026-02-28T18:54:16Z,src/images/jpg/4.jpg,97380,109100,8,image-slider-response,,2023-10-21,test,"{""assignmentId"": ""test"", ""hitId"": ""test"", ""workerId"": ""test"", ""turkSubmitTo"": """", ""previewMode"": false, ""outsideTurk"": false, ""platform"": ""turk""}"
"[663, 666]","[49, 49]",d7l6131sz9o4mrk,test,[],1894769906-exa-6424662969-mple,emotional,False,2026-02-28T18:56:06Z,example_experiment,main,test,49,663,"""127.0.0.1""",False,turk,False,,3,49,1067,1772304856868,2026-02-28T18:54:16Z,src/images/jpg/5.jpg,98550,109100,9,image-slider-response,,2023-10-21,test,"{""assignmentId"": ""test"", ""hitId"": ""test"", ""workerId"": ""test"", ""turkSubmitTo"": """", ""previewMode"": false, ""outsideTurk"": false, ""platform"": ""turk""}"
[681],[50],d7l6131sz9o4mrk,test,[],1894769906-exa-6424662969-mple,emotional,False,2026-02-28T18:56:06Z,example_experiment,main,test,50,681,"""127.0.0.1""",False,turk,False,,3,50,1067,1772304856868,2026-02-28T18:54:16Z,src/images/jpg/6.jpg,99718,109100,10,image-slider-response,,2023-10-21,test,"{""assignmentId"": ""test"", ""hitId"": ""test"", ""workerId"": ""test"", ""turkSubmitTo"": """", ""previewMode"": false, ""outsideTurk"": false, ""platform"": ""turk""}"
[706],[50],d7l6131sz9o4mrk,test,[],1894769906-exa-6424662969-mple,emotional,False,2026-02-28T18:56:06Z,example_experiment,main,test,50,706,"""127.0.0.1""",False,turk,False,,3,50,1090,1772304856868,2026-02-28T18:54:16Z,src/images/jpg/7.jpg,100910,109100,11,image-slider-response,,2023-10-21,test,"{""assignmentId"": ""test"", ""hitId"": ""test"", ""workerId"": ""test"", ""turkSubmitTo"": """", ""previewMode"": false, ""outsideTurk"": false, ""platform"": ""turk""}"
[649],[50],d7l6131sz9o4mrk,test,[],1894769906-exa-6424662969-mple,emotional,False,2026-02-28T18:56:06Z,example_experiment,main,test,50,649,"""127.0.0.1""",False,turk,False,,3,50,1364,1772304856868,2026-02-28T18:54:16Z,src/images/jpg/8.jpg,102376,109100,12,image-slider-response,,2023-10-21,test,"{""assignmentId"": ""test"", ""hitId"": ""test"", ""workerId"": ""test"", ""turkSubmitTo"": """", ""previewMode"": false, ""outsideTurk"": false, ""platform"": ""turk""}"
[619],[51],d7l6131sz9o4mrk,test,[],1894769906-exa-6424662969-mple,emotional,False,2026-02-28T18:56:06Z,example_experiment,main,test,51,619,"""127.0.0.1""",False,turk,False,,3,51,1099,1772304856868,2026-02-28T18:54:16Z,src/images/jpg/9.jpg,103577,109100,13,image-slider-response,,2023-10-21,test,"{""assignmentId"": ""test"", ""hitId"": ""test"", ""workerId"": ""test"", ""turkSubmitTo"": """", ""previewMode"": false, ""outsideTurk"": false, ""platform"": ""turk""}"
[721],[50],d7l6131sz9o4mrk,test,[],1894769906-exa-6424662969-mple,emotional,False,2026-02-28T18:56:06Z,example_experiment,main,test,50,721,"""127.0.0.1""",False,turk,False,,3,50,1116,1772304856868,2026-02-28T18:54:16Z,src/images/jpg/10.jpg,104794,109100,14,image-slider-response,,2023-10-21,test,"{""assignmentId"": ""test"", ""hitId"": ""test"", ""workerId"": ""test"", ""turkSubmitTo"": """", ""previewMode"": false, ""outsideTurk"": false, ""platform"": ""turk""}"
